"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"CFAP36",0.0217165055109877,-1.01863617866708,0.126,0.214,1,FALSE,"Not significant"
"NBPF14",0.0217633748847117,0.647375924533289,0.225,0.132,1,FALSE,"Not significant"
"RECK",0.021780323041244,-0.315654184016076,0.088,0.17,1,FALSE,"Not significant"
"SLC16A3",0.0218002704849466,8.14642018271691,0.401,0.302,1,FALSE,"Not significant"
"AF117829.1",0.0218229829363728,-10.0110215969127,0.593,0.516,1,FALSE,"Not significant"
"MIR22HG",0.0218280618755863,2.61474926469829,0.143,0.071,1,FALSE,"Not significant"
"AC015574.1",0.02183578250557,-0.592137050841708,0.06,0.132,1,FALSE,"Not significant"
"IPPK",0.021846383850347,0.771460223239911,0.291,0.192,1,FALSE,"Not significant"
"ZNF688",0.0218988803288329,-1.34257645154071,0.049,0.115,1,FALSE,"Not significant"
"ZNF248",0.0219253232458601,1.02829609662256,0.385,0.297,1,FALSE,"Not significant"
"METTL17",0.0219278757335529,0.97552764281873,0.154,0.077,1,FALSE,"Not significant"
"PTAR1",0.0219292870925075,-1.50492809311228,0.313,0.418,1,FALSE,"Not significant"
"CAPN5",0.0219644471648386,2.94903894157471,0.198,0.11,1,FALSE,"Not significant"
"AL158071.1",0.0219691810551701,-1.66350254993521,0.038,0.099,1,FALSE,"Not significant"
"AC079760.1",0.0219837425540488,-0.97887515827903,0.077,0.154,1,FALSE,"Not significant"
"LYPLAL1-DT",0.0220091206997551,-2.54655229740664,0.027,0.082,1,FALSE,"Not significant"
"EIF3L",0.0220284971164445,1.1078615844858,0.527,0.451,1,FALSE,"Not significant"
"TRIM71",0.0220821789875976,-1.34043430542748,0.027,0.082,1,FALSE,"Not significant"
"UBE3C",0.0221173876225619,2.51200799165337,0.747,0.643,1,FALSE,"Not significant"
"PRPS1",0.0221215316216904,-1.27356184343926,0.049,0.115,1,FALSE,"Not significant"
"CDK5RAP1",0.0221491706891608,1.34747453837441,0.28,0.181,1,FALSE,"Not significant"
"GP6",0.0222215474855594,2.2111433240122,0.121,0.055,1,FALSE,"Not significant"
"APCDD1L",0.0222294091959083,-0.421880152999476,0.027,0.082,1,FALSE,"Not significant"
"ETFDH",0.0222508183753561,1.49765766932343,0.242,0.148,1,FALSE,"Not significant"
"TMEM87B",0.0222874220965373,9.0174398249091,0.451,0.357,1,FALSE,"Not significant"
"SLC25A48",0.0222912989529529,1.67741068534297,0.159,0.082,1,FALSE,"Not significant"
"ALPK1",0.0223153561329757,1.06542234810706,0.489,0.374,1,FALSE,"Not significant"
"ZNF266",0.0223267726900861,-0.341353541703762,0.28,0.17,1,FALSE,"Not significant"
"CDH13",0.0223385920662651,-0.307132853539981,0.462,0.571,1,FALSE,"Not significant"
"ZNF865",0.0224316416705365,1.17143179673288,0.115,0.049,1,FALSE,"Not significant"
"TOPBP1",0.0224332742056691,3.63258956956543,0.549,0.451,1,FALSE,"Not significant"
"CD200R1",0.0224433951289465,-1.14063585106164,0.027,0.082,1,FALSE,"Not significant"
"CPEB1-AS1",0.0224433951289465,-1.14063585106164,0.027,0.082,1,FALSE,"Not significant"
"TDP1",0.0224749637361225,2.79849607710437,0.231,0.137,1,FALSE,"Not significant"
"SAR1B",0.022489069615544,-0.250394710184798,0.401,0.275,1,FALSE,"Not significant"
"GPRC5D-AS1",0.022508171937456,-1.91701215845198,0.33,0.214,1,FALSE,"Not significant"
"TPTEP2-CSNK1E",0.0225410717229984,2.71783636337503,0.527,0.429,1,FALSE,"Not significant"
"RANBP10",0.0225516225338746,-1.46498872825296,0.418,0.308,1,FALSE,"Not significant"
"ERLEC1",0.0225836232700373,-0.383290909402201,0.165,0.269,1,FALSE,"Not significant"
